ricercatore	count
galeotti tommaso	2
tuosto loretta	2
stella francesco vincenzo	2
nicotra francesco	2
plebani alessandro	2
tucci fabrizio	2
collivignarelli carlo	2
fruttero roberta	2
tonelli enrico	2
tondi emanuele	2
tolino achille	2
silvestri francesco	2
nicodano giovanna	2
maria furia	2
cirelli caterina anna	2
naldini antonella	2
silingardi vittorio	2
tarzia giorgio	2
tarchi rolando	2
muraca alessandro	2
taccari egisto	2
franco cristiana	2
pierelli francesco	2
strassi silvia	2
morlicchio enrica	2
fornengo nicolao	2
guidi laura	2
greco luigi	2
piazzolla pasquale	2
fontana vincenzo	2
goti andrea	2
sgambato alessandro	2
gori enrico	2
godoli ezio	2
pettinelli rosanna	2
somma vincenzo	2
sebastio gianfranco	2
montecucco cesare	2
peruzzini maurizio	2
fumo marina	2
fucci laura	2
fiorini isabella	2
pieraccini massimiliano	2
simoni manuela	2
fiorentino mauro	2
scaramuzza gabriele	2
dolce mauro	2
docci mario	2
serra giovanni	2
dente mario	2
dardo mauro	2
sergio cocozza	2
montagna romualdo	2
ferraro giuseppe	2
ferraris stefano	2
piano mortari giovanni battista	2
conti fabio	2
sciuto stefano	2
mongelli giovanni	2
molinaro pasquale	2
sarti giulio cesare	2
scattola merio	2
scarsini marco	2
calabro' antonino salvatore	2
scalise sergio	2
carlo pietro trevisan	2
sbordone carlo	2
cao umberto	2
capozziello salvatore	2
bozza fabio	2
merlini giampaolo	2
santi patrizia	2
capodaglio gianfranco	2
farinaro eduardo	2
farina benedetta	2
salvatore francesco	2
vassalli di dachenhausen talitha	2
salandin paolo	2
panebianco antonio	2
sacchi stefano	2
panariello gaetano	2
falsone giovanni	2
russo riccardo	2
rusciano mario	2
zotti igor	2
zollo aldo	2
ruggiero fabio	2
zeni luigi	2
falcinelli mario	2
vosa carlo	2
fadda anna maria	2
rotoli giacomo	2
turco elda	2
faccenna claudio	2
lomonaco luciano amito	2
sola marco	2
seri marco	2
rossi federica	2
esposito gennaro	2
ronconi franco	2
ricca ezio	2
padovano gabriella	2
rinaldi gloria	2
papa rocco	2
pani mario	2
rigano carmelo	2
nuti lucia	2
masoero francesco	2
mascheretti paolo	2
ricci giuliana	2
riccardi carlo	2
moio luigi	2
marzullo liberato	2
manzi elio	2
recca antonino	2
lai adolfo	2
oliviero salvatore	2
rao anna maria	2
marrucci giuseppe	2
bulgarelli alessandra	2
funaro ada	2
fiori aldo	2
quondam amedeo	2
elmi carlo	2
elia paola	2
puxeddu efisio	2
punzi leonardo	2
di maio caterina	2
canu paolo	2
parisi daniela fernanda	2
marfella raffaele	2
nicolella maurizio	2
di carlo valerio	2
pozzi amilcare	2
benzi luca	2
lo gullo maria assunta	2
delmonte rodolfo	2
muzzillo francesca	2
del sole rodolfo	2
musumarra giuseppe	2
del pizzo andrea	2
marchese leonardo	2
gagliardi marta paola francesca	2
mantovani roberto	2
leone ugo	2
del bagno ileana	2
spadolini maria benedetta	2
bianchi d'urso fulvio	2
dini gino	2
pitzurra lucia	2
bini luca	2
bertinetto pier marco	2
pitrone nicola	2
pitea demetrio	2
nobile cosimo francesco	2
modesti alessandra	2
battezzati pier maria	2
minervini vincenzo	2
de novellis vito	2
piro gabriella	2
migliaresi claudio	2
de martino luisa	2
nigrelli fausto carmelo	2
bartelletti raffaello	2
benvenuto giovanni battista	2
signorini maria gabriella	2
picozzi silvia	2
piccoli renata	2
de lillo silvana	2
de lillo antonio	2
de gennaro bruno	2
peruzzi andrea	2
armenise mario nicola	2
perrino cinzia	2
lucarelli alberto	2
pepe francesco	2
gavagnincapoggiani margherita	2
giangaspero annunziata	2
sciarrone antonella maria	2
pece salvatore	2
mathieu alessandro	2
matarrese sabatina	2
lombardi angelina	2
dabrowski ludwik	2
menziani maria cristina	2
albano leoni federico	2
polzonetti giovanni	2
pietrosanto antonio	2
pietropaolo rosario	2
zatelli maria chiara	2
palazzo sergio	2
pagotto uberto	2
gennari mara maddalena	2
pagano stefano	2
cutolo antonello	2
cubadda gianluca	2
ottaviani enzo	2
lattuada marcello	2
lasorella giacomo	2
onida giovanni	2
vagliasindi federico	2
lapadula giovanni	2
noe' salvatore	2
turco maria caterina	2
ninno domenico	2
marchetti leonardo	2
galli enrica albertina	2
neviani erasmo	2
mantovani giovanna	2
corsini emanuela	2
gaetano nicola vattemi	2
mancini anna maria	2
temussi piero andrea	2
coppola raffaele	2
musacchio aldo	2
mascolo nicola domenico	2
ippolito rosolino	2
inzerillo michele	2
morrone amelia	2
maffezzoli alfonso	2
morini augusto	2
ianniello carmine	2
collova' roberto	2
monno giuseppe	2
monica dentice	2
monduzzi maura	2
albertano patrizia beatrice	2
tagliaferri vincenzo	2
strolin paolo emilio	2
longeri maria lina	2
modena claudio	2
paganini gianenrico	2
lollini pier luigi	2
minucci sergio	2
ciaramella paolo	2
miano pasquale	2
miano giovanni	2
mezzetti carlo	2
gomez monterrey isabel maria	2
gresleri giuliano	2
gremigni vittorio	2
netti paolo antonio	2
granelli fabrizio	2
mazzacane aldo	2
gonnella giuseppe	2
de santis enrico pietro luigi	2
landriscina matteo	2
mannucci pier mannuccio	2
monteleone giovanni	2
giunchedi luciano	2
lamberti francesca	2
montagnani stefania	2
marzoli andrea	2
monestiroli antonio	2
martelli sante	2
cennamo giovanni	2
cenedese antonio	2
maritato luigi	2
marini alfredo	2
cecchi antonella	2
lacarbonara walter	2
cazzato vincenzo	2
giovanni antonini	2
marchi luciano	2
giorgino riccardo	2
